transaction_id,customer_id,merchant_id,merchant_name,merchant_category,amount,currency,timestamp,payment_method,device_id,country,account_age_days,transaction_velocity,amount_vs_customer_baseline,amount_vs_merchant_baseline,transactions_last_5m,transactions_last_1h,transactions_last_24h,failed_attempts,new_device,new_location,distance_from_previous,historical_transaction_count,historical_avg_amount,historical_std_amount,fraud_label
TXN_000239,CUST_0000,MER_0035,EliteStore,Entertainment,816.25,INR,2024-01-09 16:32:30,wallet,DEV_464bf95e,SG,1549,0.9375,0.0,-0.30028741394377595,1,1,1,0,False,1,0.0,0,816.25,0.0,0
TXN_000554,CUST_0000,MER_0042,ZenShop,Restaurant,531.65,INR,2024-01-21 11:27:18,wallet,DEV_464bf95e,IN,1549,0.9375,-10.0,-0.25400710050588915,1,1,1,0,False,0,3490.151379238441,1,816.25,0.0,0
TXN_000982,CUST_0000,MER_0024,SilverEdge,Fuel,843.55,INR,2024-02-07 10:43:18,upi,DEV_464bf95e,IN,1549,0.9375,0.8427639500297848,-0.33599498261614213,1,1,1,0,False,0,0.0,2,673.95,201.24258992569148,0
TXN_001127,CUST_0000,MER_0006,CityMall,Utilities,1931.78,INR,2024-02-12 09:32:20,credit_card,DEV_464bf95e,IN,1549,0.9375,6.9545686127515856,-0.1522886600482872,1,1,1,0,False,0,0.0,3,730.4833333333332,172.73489321307764,0
TXN_001355,CUST_0000,MER_0031,FlashDeal,Electronics,2438.42,INR,2024-02-20 16:45:45,wallet,DEV_464bf95e,IN,1549,0.9375,2.2814386712890515,0.021895974805405484,1,1,1,0,False,0,0.0,4,1030.8075,616.9845885906174,0
TXN_001560,CUST_0000,MER_0001,GlobalShop,Electronics,2510.84,INR,2024-02-29 07:17:41,wallet,DEV_d853029e,IN,1549,0.9375,1.4515114447520614,-0.05120051880219176,1,1,1,0,False,0,0.0,5,1312.33,825.6979332358778,0
TXN_001830,CUST_0000,MER_0002,PayEase,Restaurant,1601.82,INR,2024-03-11 12:03:05,debit_card,DEV_464bf95e,IN,1549,0.9375,0.10129576754571622,-0.27719211666440235,1,1,1,0,False,0,0.0,6,1512.0816666666667,885.9040758325174,0
TXN_001900,CUST_0000,MER_0030,RapidGo,Groceries,328.84,INR,2024-03-13 21:21:39,wallet,DEV_d853029e,IN,1549,0.9375,-1.4776643033922086,-0.41044334867096244,1,1,1,0,False,0,0.0,7,1524.9014285714286,809.4270300945102,0
TXN_002064,CUST_0000,MER_0010,FreshBasket,Groceries,2449.58,INR,2024-03-19 15:12:26,wallet,DEV_d853029e,IN,1549,0.9375,1.248381774933014,0.027017232152731097,1,1,1,0,False,0,0.0,8,1375.39375,860.46293815659,0
TXN_002330,CUST_0000,MER_0045,PulseShop,Entertainment,1439.9,INR,2024-03-28 16:33:37,wallet,DEV_464bf95e,IN,1549,0.9375,-0.06226051138826857,-0.19904916831119052,1,1,1,0,False,0,0.0,9,1494.7477777777776,880.9400461833056,0
TXN_002704,CUST_0000,MER_0045,PulseShop,Entertainment,1411.23,USD,2024-04-11 05:39:46,wallet,DEV_d853029e,JP,1549,0.9375,-0.09393199293163598,-0.20676252080576268,1,1,1,0,False,1,6819.818681607306,10,1489.2630000000001,830.7393206997408,1
TXN_002769,CUST_0000,MER_0013,FuelStop,Travel,1407.56,INR,2024-04-13 10:25:11,wallet,DEV_464bf95e,IN,1549,0.9375,-0.09462639251837572,-0.1883291385522403,1,1,1,0,False,0,6819.818681607306,11,1482.169090909091,788.4596350283831,0
TXN_002860,CUST_0000,MER_0024,SilverEdge,Fuel,2221.83,USD,2024-04-16 10:16:57,debit_card,DEV_464bf95e,IN,1549,0.9375,0.991760275532405,-0.13376898894318176,1,1,1,0,False,0,0.0,12,1475.9516666666666,752.0752259742655,0
TXN_003128,CUST_0000,MER_0002,PayEase,Restaurant,1080.56,INR,2024-04-26 21:33:05,wallet,DEV_464bf95e,IN,1549,0.9375,-0.6043463949410561,-0.401446312083725,1,1,1,0,False,0,0.0,13,1533.326923076923,749.1844526036809,0
TXN_003192,CUST_0000,MER_0030,RapidGo,Groceries,666.43,INR,2024-04-28 19:53:20,wallet,DEV_d853029e,IN,1549,0.9375,-1.1433944206359472,-0.35187090562011486,1,1,1,1,False,0,0.0,14,1500.9864285714286,729.8937387741098,0
TXN_003243,CUST_0000,MER_0004,MegaStore,Fuel,1450.43,INR,2024-04-30 16:53:23,wallet,DEV_d853029e,IN,1549,0.9375,0.006906727480471274,-0.10747186713379742,1,1,1,0,False,0,0.0,15,1445.3493333333333,735.6112834960234,0
TXN_003356,CUST_0000,MER_0025,DigiPay,Entertainment,23923.97,INR,2024-05-05 00:38:40,wallet,DEV_d853029e,IN,1549,0.9375,10.0,2.8693904692798635,1,1,1,0,False,0,0.0,16,1445.666875,710.6691516002718,1
TXN_003451,CUST_0000,MER_0003,SwiftPay,Travel,221.45,INR,2024-05-08 08:04:43,wallet,DEV_464bf95e,IN,1549,0.9375,-0.46341225260309965,-0.5179862833380037,1,1,1,0,False,0,0.0,17,2767.92,5495.042450206824,0
TXN_003571,CUST_0000,MER_0042,ZenShop,Restaurant,1657.7,INR,2024-05-12 14:43:14,upi,DEV_464bf95e,IN,1549,0.9375,-0.18057996625703948,-0.14692060302141527,1,1,1,0,False,0,0.0,18,2626.4494444444445,5364.656249107478,0
TXN_004246,CUST_0000,MER_0016,StyleHub,Utilities,1651.76,INR,2024-06-07 01:10:50,wallet,DEV_d853029e,IN,1549,0.9375,-0.17701408567809418,-0.1430254032596812,1,1,1,0,False,0,0.0,19,2575.4626315789474,5218.243667109805,0
TXN_004593,CUST_0000,MER_0031,FlashDeal,Electronics,1397.77,USD,2024-06-19 17:22:01,wallet,DEV_d853029e,IN,1549,0.9375,-0.22259470130301676,-0.2937556267252669,1,1,1,0,False,0,0.0,20,2529.2775,5083.263408232194,0
TXN_004785,CUST_0000,MER_0032,BrightMart,Restaurant,2884.84,INR,2024-06-26 09:29:21,debit_card,DEV_464bf95e,IN,1549,0.9375,0.0825374880097854,0.34162738935215353,1,1,1,0,False,0,0.0,21,2475.3961904761904,4960.701123776232,0
TXN_005813,CUST_0000,MER_0002,PayEase,Restaurant,1781.98,INR,2024-08-03 12:54:32,wallet,DEV_d853029e,IN,1549,0.9375,-0.14705426491090426,-0.23424687657932927,1,1,1,0,False,0,0.0,22,2494.0072727272727,4841.935547797057,0
TXN_005940,CUST_0000,MER_0048,LinkShop,Fashion,1557.81,INR,2024-08-08 12:51:36,wallet,DEV_d853029e,IN,1549,0.9375,-0.19126364768935614,-0.19233117251048276,1,1,1,0,False,0,0.0,23,2463.0495652173913,4732.941027495463,0
TXN_006107,CUST_0000,MER_0047,WavePay,Healthcare,1889.8,INR,2024-08-13 15:52:37,wallet,DEV_464bf95e,IN,1549,0.9375,-0.11560072258989448,-0.09505891433325135,1,1,1,0,False,0,0.0,24,2425.3312499999997,4632.5943125792755,0
TXN_006260,CUST_0000,MER_0035,EliteStore,Entertainment,301.51,INR,2024-08-19 04:06:54,wallet,DEV_d853029e,IN,1549,0.9375,-0.4634593988913349,-0.38075889277449054,1,1,1,0,False,0,0.0,25,2403.91,4536.319697106713,0
TXN_006376,CUST_0000,MER_0006,CityMall,Utilities,727.28,INR,2024-08-22 18:29:32,wallet,DEV_d853029e,IN,1549,0.9375,-0.3574949650434531,-0.35346738582404197,1,1,1,0,False,0,0.0,26,2323.0484615384617,4463.750870853518,0
TXN_006424,CUST_0000,MER_0021,SpeedMart,Electronics,1661.43,INR,2024-08-24 16:56:17,wallet,DEV_464bf95e,IN,1549,0.9375,-0.13731529347692806,-0.19789004170966923,1,1,1,0,False,0,0.0,27,2263.945925925926,4387.8282649351195,0
TXN_006467,CUST_0000,MER_0035,EliteStore,Entertainment,1375.07,INR,2024-08-26 11:27:07,wallet,DEV_d853029e,IN,1549,0.9375,-0.20136868061093166,-0.21292472248754582,1,1,1,0,False,0,0.0,28,2242.4275000000002,4307.310835868457,0
TXN_006659,CUST_0000,MER_0031,FlashDeal,Electronics,1418.19,INR,2024-09-01 16:52:27,debit_card,DEV_d853029e,IN,1549,0.9375,-0.18766206320819118,-0.28756180007533044,1,1,1,0,False,0,0.0,29,2212.518620689655,4232.760778125047,0
TXN_006667,CUST_0000,MER_0019,GreenMart,Online Services,1214.96,INR,2024-09-02 04:17:42,wallet,DEV_464bf95e,IN,1549,1.875,-0.23333928504425344,-0.24199148521587008,1,1,2,0,False,0,0.0,30,2186.0409999999997,4161.669561196399,0
